cb_index,llr_len,decode_us,bit_diff,e2e_us,emulation_mode,source
3110,19200,11231.0,-1,11650.8,gcp_kvm_cxl_bpftime_node1,measured
3111,19200,11001.6,-1,11450.0,gcp_kvm_cxl_bpftime_node1,measured
3112,19200,11182.0,-1,11653.8,gcp_kvm_cxl_bpftime_node1,measured
3113,19200,10905.1,-1,11325.2,gcp_kvm_cxl_bpftime_node1,measured
3114,19200,11024.5,-1,11225.5,gcp_kvm_cxl_bpftime_node1,measured
3115,19200,11220.4,-1,11728.6,gcp_kvm_cxl_bpftime_node1,measured
3116,19200,11291.2,-1,11855.8,gcp_kvm_cxl_bpftime_node1,measured
3117,19200,11272.6,-1,11581.8,gcp_kvm_cxl_bpftime_node1,measured
3118,19200,11133.3,-1,11568.0,gcp_kvm_cxl_bpftime_node1,measured
3119,19200,11151.2,-1,11593.4,gcp_kvm_cxl_bpftime_node1,measured
3120,19200,10863.7,-1,11298.7,gcp_kvm_cxl_bpftime_node1,measured
3121,19200,10881.7,-1,11160.1,gcp_kvm_cxl_bpftime_node1,measured
3122,19200,10666.5,-1,11143.9,gcp_kvm_cxl_bpftime_node1,measured
3123,19200,11237.7,-1,11706.4,gcp_kvm_cxl_bpftime_node1,measured
3124,19200,11169.3,-1,11726.9,gcp_kvm_cxl_bpftime_node1,measured
